product_category_en,delivered_orders,product_revenue,freight_revenue,avg_review_score,avg_delivery_days,late_delivery_rate
health_beauty,8647,1233131.72,178957.81,4.0618181818181816,14.593636363636364,0.11573181818181819
watches_gifts,5495,1166176.98,98156.14,4.185714285714286,12.879047619047618,0.06907142857142856
bed_bath_table,9272,1023434.76,201774.5,4.04047619047619,13.35190476190476,0.0703
sports_leisure,7530,954852.55,163404.36,4.2628571428571425,12.28095238095238,0.06232857142857143
computers_accessories,6530,888724.61,143999.16,4.1085714285714285,12.952857142857143,0.06346190476190476
furniture_decor,6307,711927.69,168402.23,4.064761904761904,13.176666666666666,0.07386190476190475
housewares,5743,615628.69,142763.56,4.146190476190476,12.175714285714285,0.06129047619047619
cool_stuff,3559,610204.1,81476.79,4.213333333333334,12.451904761904762,0.06145238095238095
auto,3810,578966.65,90488.1,4.118571428571428,13.331428571428571,0.07263809523809524
toys,3804,471286.48,75774.58,4.264285714285714,11.646666666666667,0.06201904761904762
garden_tools,3448,470495.28,96650.4,4.184285714285714,12.775238095238096,0.06016666666666667
baby,2809,400421.84,66305.81,4.136666666666667,12.757619047619048,0.0794
perfumery,3086,390144.65,53026.98,4.3028571428571425,12.105238095238096,0.06449523809523809
telephony,4093,309860.23,69342.39,4.093809523809524,12.495714285714287,0.0677
office_furniture,1254,268154.31,67057.05,3.552857142857143,20.49809523809524,0.09006666666666667
stationery,2264,223788.69,45786.36,4.336,12.395,0.06454
computers,177,218684.13999999998,9665.62,4.272307692307693,14.038461538461538,0.08845384615384615
pet_shop,1688,211695.64,38918.56,4.271428571428571,12.374761904761906,0.053976190476190476
musical_instruments,611,184315.74,17871.38,4.163,13.9355,0.084975
small_appliances,609,182754.12,15354.35,4.2625,11.206999999999999,0.06745999999999999
Unknown / Untranslated,1392,170726.63,26969.06,4.112857142857143,11.958095238095238,0.0658
electronics,2517,155043.93,45679.16,4.180476190476191,12.692857142857143,0.07782380952380953
fashion_bags_accessories,1820,149329.38999999998,30558.9,4.290454545454545,11.030454545454546,0.04839545454545455
consoles_games,1018,148003.37,19094.36,4.193333333333333,14.164285714285715,0.07183333333333333
construction_tools_construction,736,142108.49,20273.52,4.171111111111111,11.892777777777777,0.09547777777777777
luggage_accessories,1019,138701.63,30076.489999999998,4.401,11.099,0.060975
home_appliances_2,227,107953.95,10254.57,4.075,18.178,0.102755
home_construction,483,81407.57,13614.8,4.068947368421052,13.281052631578948,0.06426315789473684
home_appliances,747,78832.48,14469.300000000001,4.253157894736842,12.396315789473684,0.062115789473684214
agro_industry_and_commerce,177,70566.1,5637.2,3.940526315789474,11.291052631578948,0.03353684210526316
furniture_living_room,414,67350.7,17694.37,4.118,14.463999999999999,0.0742
home_confort,392,58008.45,8429.77,3.8984210526315786,13.74,0.09234210526315789
fixed_telephony,212,55315.21,4501.33,3.9195238095238096,13.14095238095238,0.05856190476190476
air_conditioning,246,53323.56,6530.99,4.064761904761904,12.071428571428571,0.02776190476190476
audio,348,50570.6,5684.72,3.9065,13.133500000000002,0.11311500000000001
small_appliances_home_oven_and_coffee,72,46589.56,2656.34,4.124545454545455,10.131818181818183,0.05236363636363637
kitchen_dining_laundry_garden_furniture,241,45531.98,11540.99,4.1815,12.4125,0.0333
books_general_interest,496,45302.15,8880.39,4.5555,11.929,0.06705
construction_tools_lights,242,39957.0,7490.139999999999,3.91,12.120000000000001,0.13885714285714285
construction_tools_safety,159,38773.22,3730.8,3.8592857142857144,12.465,0.030242857142857144
industry_commerce_and_business,232,38498.81,7580.53,4.281052631578947,11.067894736842105,0.0444
food,441,28731.15,7063.53,4.3966666666666665,13.069523809523808,0.08105714285714286
market_place,274,27795.77,5318.61,4.115714285714286,12.224761904761905,0.0419047619047619
costruction_tools_garden,190,25096.28,5187.66,4.3116666666666665,12.112222222222222,0.06853888888888889
art,195,23657.3,3828.23,4.221666666666667,11.997777777777777,0.04168333333333333
fashion_shoes,235,23001.46,4813.37,4.357619047619048,14.710952380952381,0.056357142857142856
drinks,287,21529.84,5441.2699999999995,4.292941176470588,10.345882352941176,0.052741176470588236
signaling_and_security,138,21315.05,6477.54,3.920555555555555,11.800555555555555,0.058138888888888886
furniture_bedroom,90,19051.8,4327.42,4.287894736842105,14.342631578947367,0.0842157894736842
books_technical,256,18702.23,4198.84,4.473684210526316,12.081052631578947,0.1207842105263158
costruction_tools_tools,97,15903.949999999999,2030.22,4.509285714285714,12.750714285714285,0.049985714285714286
food_drink,221,14942.880000000001,4394.89,4.4366666666666665,10.272222222222222,0.05155555555555555
fashion_male_clothing,106,10452.33,2062.62,3.871052631578947,14.2835,0.07416500000000001
fashion_underwear_beach,117,9305.95,1854.07,3.9219999999999997,13.612,0.12242
christmas_supplies,125,8737.84,3190.91,4.355625,14.26625,0.05376875
tablets_printing_image,79,7528.41,1226.2,4.225882352941177,12.540000000000001,0.07408823529411765
cine_photo,63,6674.469999999999,1227.71,4.26,12.819333333333333,0.12166666666666666
music,38,6034.349999999999,690.51,4.289285714285714,11.145,0.04405
dvds_blu_ray,56,4542.59,1227.25,4.2604999999999995,13.032,0.08332999999999999
party_supplies,38,4465.1900000000005,820.1899999999999,3.810833333333333,9.315833333333332,0.016666666666666666
books_imported,50,4418.860000000001,732.08,4.323571428571428,9.471428571428572,0.08571428571428572
furniture_mattress_and_upholstery,37,4323.38,1581.37,3.6136363636363638,14.574545454545454,0.12272727272727274
portateis_cozinha_e_preparadores_de_alimentos,13,3933.63,294.41999999999996,4.036666666666666,9.336666666666668,0.04763333333333333
fashio_female_clothing,36,2634.94,583.5,3.818125,13.445625,0.04166875
fashion_sport,26,2094.52,563.03,4.428571428571429,10.749285714285715,0.14285714285714285
la_cuisine,13,2054.99,333.55,3.875,7.754444444444445,0.0
arts_and_craftmanship,23,1814.0100000000002,370.13,4.376666666666666,6.006666666666667,0.03518333333333334
diapers_and_hygiene,25,1500.79,545.4,3.473,12.370000000000001,0.01429
pc_gamer,7,1306.95,123.15,3.5833333333333335,9.976666666666667,0.0
flowers,29,1110.04,488.87,4.397777777777778,11.773333333333333,0.01587777777777778
home_comfort_2,24,760.27,410.31,3.7028571428571433,14.861428571428572,0.1666642857142857
cds_dvds_musicals,12,730.0,224.98999999999998,4.833333333333333,11.298333333333334,0.0
fashion_childrens_clothes,7,519.95,78.72,5.0,9.07,0.0
security_and_services,2,283.28999999999996,41.22,2.5,15.14,0.0
